country,time_period,C0000,CF,CF_NR_OTH,CF_R,FE,G3000,N9000,O4000XBIO,RA000,RA100,RA110,RA120,RA130,RA200,RA300,RA310,RA320,RA400,RA410,RA420,RA500_5160,TOTAL,X9900,year,month,share_ra000,share_ra100,share_ra110,share_ra120,share_ra130,share_ra200,share_ra300,share_ra310,share_ra320,share_ra400,share_ra410,share_ra420,share_ra500_5160,share_cf,share_cf_r,share_cf_nr_oth,share_c0000,share_g3000,share_o4000xbio,share_fe,share_n9000,share_x9900
AL,2018-05,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1007.731,1007.731,1007.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.731,0.0,2018,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2018-06,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,533.948,533.948,533.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.948,0.0,2018,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2018-07,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,569.644,569.644,569.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.644,0.0,2018,7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2018-08,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,581.776,581.776,581.776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.776,0.0,2018,8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2018-09,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,489.469,489.469,489.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.469,0.0,2018,9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2018-10,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,271.923,271.923,271.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.923,0.0,2018,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2018-11,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,263.479,263.479,263.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.479,0.0,2018,11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2018-12,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,473.668,473.668,473.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.668,0.0,2018,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2019-01,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,419.847,419.847,419.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.847,0.0,2019,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2019-02,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,525.664,525.664,525.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.664,0.0,2019,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2019-03,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,342.72,342.72,342.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.72,0.0,2019,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2019-04,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,320.069,320.069,320.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.069,0.0,2019,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2019-05,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,520.692,520.692,520.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.692,0.0,2019,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2019-06,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,443.934,443.934,443.934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.934,0.0,2019,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2019-07,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,457.805,457.805,457.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.805,0.0,2019,7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2019-08,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,477.79,477.79,477.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.79,0.0,2019,8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2019-09,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,258.513,258.513,258.513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.513,0.0,2019,9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2019-10,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,263.104,263.104,263.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.104,0.0,2019,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2019-11,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,433.041,433.041,433.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.041,0.0,2019,11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2019-12,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,773.454,773.454,773.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.454,0.0,2019,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2020-01,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,537.469,535.959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,1.51,0.0,537.469,0.0,2020,1,1.0,0.9971905356401949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028094643598049374,0.0,0.0028094643598049374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2020-02,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,469.007,467.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.881,0.0,1.881,0.0,469.007,0.0,2020,2,1.0,0.9959893988789079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00401060112109201,0.0,0.00401060112109201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2020-03,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,547.065,544.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.591,0.0,2.591,0.0,547.065,0.0,2020,3,1.0,0.9952638169138951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047361830861049415,0.0,0.0047361830861049415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2020-04,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,405.656,402.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,0.0,2.98,0.0,405.656,0.0,2020,4,1.0,0.9926538742185497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007346125781450293,0.0,0.007346125781450293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2020-05,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,371.832,368.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.252,0.0,3.252,0.0,371.832,0.0,2020,5,1.0,0.9912541147615052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008745885238494804,0.0,0.008745885238494804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2020-06,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,416.142,412.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.668,0.0,3.668,0.0,416.142,0.0,2020,6,1.0,0.9911857010347429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008814298965257051,0.0,0.008814298965257051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2020-07,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,490.564,486.633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.931,0.0,3.931,0.0,490.565,0.0,2020,7,0.9999979615341494,0.9919847522754375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008013209258711894,0.0,0.008013209258711894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2020-08,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,461.13,457.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.658,0.0,3.658,0.0,461.13,0.0,2020,8,1.0,0.9920673129052544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007932687094745516,0.0,0.007932687094745516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2020-09,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,336.961,334.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,2.85,0.0,336.962,0.0,2020,9,0.9999970323063135,0.9915391052997073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008457927006606086,0.0,0.008457927006606086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2020-10,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,554.54,552.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.331,0.0,2.331,0.0,554.541,0.0,2020,10,0.9999981967068259,0.995794720318245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004203476388580826,0.0,0.004203476388580826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2020-11,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,361.263,359.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,0.0,361.263,0.0,2020,11,1.0,0.9941593797316638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005840620268336365,0.0,0.005840620268336365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2020-12,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,392.439,390.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.503,0.0,1.503,0.0,392.438,0.0,2020,12,1.0000025481732147,0.9961726438316371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003829904341577523,0.0,0.003829904341577523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2021-01,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1156.584,1154.85,1154.85,0.0,0.0,0.0,0.0,0.0,0.0,1.734,0.0,1.734,0.0,1156.584,0.0,2021,1,1.0,0.9985007574028344,0.9985007574028344,0.0,0.0,0.0,0.0,0.0,0.0,0.0014992425971654458,0.0,0.0014992425971654458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2021-02,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1187.193,1184.705,1184.705,0.0,0.0,0.0,0.0,0.0,0.0,2.488,0.0,2.488,0.0,1187.193,0.0,2021,2,1.0,0.9979043003117437,0.9979043003117437,0.0,0.0,0.0,0.0,0.0,0.0,0.0020956996882562483,0.0,0.0020956996882562483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2021-03,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1017.182,1013.403,1013.403,0.0,0.0,0.0,0.0,0.0,0.0,3.779,0.0,3.779,0.0,1017.182,0.0,2021,3,1.0,0.9962848339825124,0.9962848339825124,0.0,0.0,0.0,0.0,0.0,0.0,0.003715166017487529,0.0,0.003715166017487529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2021-04,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1003.523,999.815,999.815,0.0,0.0,0.0,0.0,0.0,0.0,3.708,0.0,3.708,0.0,1003.524,0.0,2021,4,0.9999990035116251,0.9963040246172489,0.9963040246172489,0.0,0.0,0.0,0.0,0.0,0.0,0.0036949788943762183,0.0,0.0036949788943762183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AL,2021-05,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,984.572,979.898,979.898,0.0,0.0,0.0,0.0,0.0,0.0,4.674,0.0,4.674,0.0,984.572,0.0,2021,5,1.0,0.9952527595747188,0.9952527595747188,0.0,0.0,0.0,0.0,0.0,0.0,0.00474724042528124,0.0,0.00474724042528124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
