category,country,year,capacity_mw,group,is_renewable
Hydro Pumped Storage,GR,2023,699.0,renewable,True
Hydro Run-of-river and poundage,GR,2023,321.0,renewable,True
Hydro Water Reservoir,GR,2023,2403.0,renewable,True
Other renewable,GR,2023,120.0,renewable,True
Solar,GR,2023,5100.0,renewable,True
Wind Onshore,GR,2023,4547.0,renewable,True
Fossil Brown coal/Lignite,GR,2024,2650.0,fossil,False
Fossil Gas,GR,2024,6030.0,fossil,False
Fossil Oil,GR,2024,0.0,fossil,False
Biomass,GR,2024,120.0,renewable,True
Geothermal,GR,2024,0.0,renewable,True
Hydro Pumped Storage,GR,2024,699.0,renewable,True
Hydro Run-of-river and poundage,GR,2024,327.0,renewable,True
Hydro Water Reservoir,GR,2024,2403.0,renewable,True
Other renewable,GR,2024,128.0,renewable,True
Solar,GR,2024,6700.0,renewable,True
Wind Onshore,GR,2024,5065.0,renewable,True
Fossil Gas,HR,2014,496.0,fossil,False
Fossil Oil,HR,2014,320.0,fossil,False
Biogas,HR,2014,12.0,other,False
Fossil_Hard_coal,HR,2014,325.0,other,False
Fossil_Mixed_fuels,HR,2014,629.0,other,False
Hydro_Mixed_pumped_storage_renewable,HR,2014,276.0,other,False
