category,country,year,capacity_mw,group,is_renewable
Solar,FI,2019,3.0,renewable,True
Wind Onshore,FI,2019,2013.0,renewable,True
Fossil Gas,FI,2020,1849.0,fossil,False
Fossil Hard coal,FI,2020,2163.0,fossil,False
Fossil Oil,FI,2020,1300.0,fossil,False
Fossil Peat,FI,2020,1135.0,fossil,False
Nuclear,FI,2020,2794.0,nuclear,False
Other,FI,2020,436.0,other,False
Waste,FI,2020,163.0,other,False
Biomass,FI,2020,1860.0,renewable,True
Hydro Run-of-river and poundage,FI,2020,3148.0,renewable,True
Other renewable,FI,2020,274.0,renewable,True
Solar,FI,2020,7.0,renewable,True
Wind Onshore,FI,2020,2145.0,renewable,True
Fossil Gas,FI,2021,1849.0,fossil,False
Fossil Hard coal,FI,2021,1682.0,fossil,False
Fossil Oil,FI,2021,1089.0,fossil,False
Fossil Peat,FI,2021,1135.0,fossil,False
Nuclear,FI,2021,2794.0,nuclear,False
Other,FI,2021,436.0,other,False
Waste,FI,2021,163.0,other,False
Biomass,FI,2021,1860.0,renewable,True
Hydro Run-of-river and poundage,FI,2021,3153.0,renewable,True
Other renewable,FI,2021,273.0,renewable,True
Solar,FI,2021,7.0,renewable,True
Wind Onshore,FI,2021,2422.0,renewable,True
Fossil Gas,FI,2022,1935.0,fossil,False
Fossil Hard coal,FI,2022,1682.0,fossil,False
Fossil Oil,FI,2022,1051.0,fossil,False
Fossil Peat,FI,2022,1116.0,fossil,False
Nuclear,FI,2022,2794.0,nuclear,False
Other,FI,2022,462.0,other,False
Waste,FI,2022,114.0,other,False
Biomass,FI,2022,1895.0,renewable,True
Hydro Run-of-river and poundage,FI,2022,3167.0,renewable,True
Other renewable,FI,2022,322.0,renewable,True
Solar,FI,2022,7.0,renewable,True
Wind Onshore,FI,2022,3184.0,renewable,True
Fossil Gas,FI,2023,1780.0,fossil,False
Fossil Hard coal,FI,2023,1557.0,fossil,False
Fossil Oil,FI,2023,1051.0,fossil,False
Fossil Peat,FI,2023,1051.0,fossil,False
Nuclear,FI,2023,2794.0,nuclear,False
Other,FI,2023,436.0,other,False
Waste,FI,2023,114.0,other,False
Biomass,FI,2023,1833.0,renewable,True
Hydro Run-of-river and poundage,FI,2023,3167.0,renewable,True
Other renewable,FI,2023,392.0,renewable,True
Solar,FI,2023,18.0,renewable,True
Wind Onshore,FI,2023,5121.0,renewable,True
Fossil Gas,FI,2024,1742.0,fossil,False
Fossil Hard coal,FI,2024,1410.0,fossil,False
Fossil Oil,FI,2024,1051.0,fossil,False
Fossil Peat,FI,2024,1044.0,fossil,False
Nuclear,FI,2024,4364.0,nuclear,False
Other,FI,2024,448.0,other,False
Waste,FI,2024,87.0,other,False
Biomass,FI,2024,1695.0,renewable,True
Hydro Run-of-river and poundage,FI,2024,3173.0,renewable,True
Other renewable,FI,2024,392.0,renewable,True
Solar,FI,2024,27.0,renewable,True
Wind Onshore,FI,2024,6618.0,renewable,True
Fossil Gas,FR,2014,10892.0,fossil,False
Fossil Oil,FR,2014,8671.0,fossil,False
Nuclear,FR,2014,63130.0,nuclear,False
Biogas,FR,2014,328.54,other,False
Fossil_Hard_coal,FR,2014,6405.0,other,False
Hydro_Marine,FR,2014,240.0,other,False
Hydro_Mixed_pumped_storage_renewable,FR,2014,2455.0,other,False
Hydro_Pure_storage,FR,2014,1728.0,other,False
Hydro_RunOfRiver_and_poundage,FR,2014,20999.0,other,False
Solar_PV,FR,2014,5297.0,other,False
Waste_renewable,FR,2014,875.8,other,False
Wind_onshore,FR,2014,9313.0,other,False
Biomass,FR,2014,393.72,renewable,True
Fossil Gas,FR,2015,10831.0,fossil,False
Fossil Oil,FR,2015,8494.7,fossil,False
Nuclear,FR,2015,63130.0,nuclear,False
Biogas,FR,2015,363.02,other,False
Fossil_Hard_coal,FR,2015,3007.0,other,False
Hydro_Marine,FR,2015,240.0,other,False
Hydro_Mixed_pumped_storage_renewable,FR,2015,2455.0,other,False
Hydro_RunOfRiver_and_poundage,FR,2015,21008.0,other,False
Other_renewable,FR,2015,1727.66,other,False
Solar_PV,FR,2015,6196.0,other,False
Waste_renewable,FR,2015,871.21,other,False
Wind_onshore,FR,2015,10324.0,other,False
Biomass,FR,2015,470.44,renewable,True
Fossil Gas,FR,2016,11678.92,fossil,False
Fossil Oil,FR,2016,7129.6,fossil,False
Nuclear,FR,2016,63130.0,nuclear,False
Biogas,FR,2016,389.53,other,False
Fossil_Hard_coal,FR,2016,2997.0,other,False
Hydro_Marine,FR,2016,240.0,other,False
Hydro_Mixed_pumped_storage_renewable,FR,2016,2455.0,other,False
Hydro_RunOfRiver_and_poundage,FR,2016,21056.0,other,False
Other_renewable,FR,2016,1727.66,other,False
Solar_PV,FR,2016,6772.09,other,False
Waste_renewable,FR,2016,880.52,other,False
Wind_onshore,FR,2016,11761.5,other,False
Biomass,FR,2016,655.95,renewable,True
Fossil Gas,FR,2017,11932.47,fossil,False
Fossil Oil,FR,2017,4098.21,fossil,False
Nuclear,FR,2017,63130.0,nuclear,False
Biogas,FR,2017,432.03,other,False
Fossil_Hard_coal,FR,2017,2997.0,other,False
Hydro_Marine,FR,2017,240.0,other,False
Hydro_Mixed_pumped_storage_renewable,FR,2017,2455.0,other,False
Hydro_RunOfRiver_and_poundage,FR,2017,21098.48,other,False
